source_doc_name,item,condition,critical_word_text,aggregated_surprisal_bits
lan_parasitic_gap,1,PLUS_FILLER_PLUS_GAP,soon,22.97648529
lan_parasitic_gap,1,MINUS_FILLER_PLUS_GAP,soon,23.33667864
lan_parasitic_gap,1,PLUS_FILLER_MINUS_GAP,Kim,19.50932122
lan_parasitic_gap,1,MINUS_FILLER_MINUS_GAP,Kim,19.20574645
lan_parasitic_gap,2,PLUS_FILLER_PLUS_GAP,soon,22.97648529
lan_parasitic_gap,2,MINUS_FILLER_PLUS_GAP,soon,23.33667864
lan_parasitic_gap,2,PLUS_FILLER_MINUS_GAP,you,4.13821636
lan_parasitic_gap,2,MINUS_FILLER_MINUS_GAP,you,5.77248976
lan_parasitic_gap,3,PLUS_FILLER_PLUS_GAP,soon,22.97648529
lan_parasitic_gap,3,MINUS_FILLER_PLUS_GAP,soon,23.33667864
lan_parasitic_gap,3,PLUS_FILLER_MINUS_GAP,us,7.00875245
lan_parasitic_gap,3,MINUS_FILLER_MINUS_GAP,us,6.60424673
lan_parasitic_gap,4,PLUS_FILLER_PLUS_GAP,soon,22.97648529
lan_parasitic_gap,4,MINUS_FILLER_PLUS_GAP,soon,23.26264674
lan_parasitic_gap,4,PLUS_FILLER_MINUS_GAP,Kim,19.50932122
lan_parasitic_gap,4,MINUS_FILLER_MINUS_GAP,Kim,20.15949050
lan_parasitic_gap,5,PLUS_FILLER_PLUS_GAP,soon,22.97648529
lan_parasitic_gap,5,MINUS_FILLER_PLUS_GAP,soon,23.26264674
lan_parasitic_gap,5,PLUS_FILLER_MINUS_GAP,you,4.13821636
lan_parasitic_gap,5,MINUS_FILLER_MINUS_GAP,you,5.08110990
lan_parasitic_gap,6,PLUS_FILLER_PLUS_GAP,soon,22.97648529
lan_parasitic_gap,6,MINUS_FILLER_PLUS_GAP,soon,23.26264674
lan_parasitic_gap,6,PLUS_FILLER_MINUS_GAP,us,7.00875245
lan_parasitic_gap,6,MINUS_FILLER_MINUS_GAP,us,6.57863456
lan_parasitic_gap,7,PLUS_FILLER_PLUS_GAP,eventually,23.07982987
